55.258237	57.938237	P
58.358237	59.880385	I
61.168237	62.748237	I
63.738237	67.238237	P
67.908237	70.388237	I
71.478237	73.588237	I
74.478237	75.700749	I
75.324657	77.098292	P
78.409294	79.218237	I
79.768237	80.448237	I
81.098237	85.558237	P
86.588237	87.388237	P
87.888237	88.998237	I
89.718237	90.828237	I
91.328237	92.258237	P
92.998237	95.388237	I
96.188237	96.998237	I
97.748237	99.588237	I
100.198237	103.288237	P
103.698237	108.588237	P
108.898237	109.688237	I
110.668237	125.408702	P
126.039669	127.878237	I
128.208237	138.228237	P
138.588237	140.778237	I
141.748237	144.168452	I
144.508237	148.878237	P
149.208237	152.088237	P
152.748237	153.188237	I
153.768237	156.258237	P
156.738237	158.751873	I
159.508237	163.538237	P
164.478237	165.138237	I
165.808237	166.308237	I
166.868237	169.128237	I
170.668237	171.108237	P
171.488237	172.158237	P
172.778237	173.368237	P
173.758237	174.568237	P
175.418237	176.528237	P
177.848237	178.758237	I
179.188237	180.258237	I
181.228237	185.404508	P
185.912360	186.258623	I
